GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mensadigitale Maven Webapp,business.piatti,PiattoFilter,0,49,0,6,0,14,0,5,0,2
mensadigitale Maven Webapp,business.piatti,PiattoBean,0,104,0,0,0,37,0,19,0,19
mensadigitale Maven Webapp,business.piatti,MenuServlet,20,261,3,16,12,64,4,16,1,6
mensadigitale Maven Webapp,business.piatti,MenuBean,21,62,0,0,9,18,6,8,6,8
mensadigitale Maven Webapp,business.piatti,PiattoServlet,25,187,2,32,17,45,3,20,1,3
mensadigitale Maven Webapp,business.valutazioni,ValutazioneBean,10,46,0,0,1,20,1,10,1,10
mensadigitale Maven Webapp,business.valutazioni,ValutazioneServlet,110,113,11,9,32,26,13,7,3,6
mensadigitale Maven Webapp,business.valutazioni,ValutazioneFilter,0,42,0,4,0,12,0,4,0,2
mensadigitale Maven Webapp,storage.manager,PiattoDao,32,304,0,4,21,96,0,8,0,6
mensadigitale Maven Webapp,storage.manager,DriverManagerConnectionPool,17,68,0,6,7,27,1,8,1,5
mensadigitale Maven Webapp,storage.manager,RichiestaDao,40,301,0,6,26,103,0,10,0,7
mensadigitale Maven Webapp,storage.manager,FasciaOrariaDao,38,263,0,6,25,93,0,10,0,7
mensadigitale Maven Webapp,storage.manager,PrenotazioneDao,48,536,0,10,32,160,0,14,0,9
mensadigitale Maven Webapp,storage.manager,ConsumatoreDao,40,578,0,14,26,161,0,15,0,8
mensadigitale Maven Webapp,storage.manager,ValutazioneDao,32,263,0,4,21,88,0,8,0,6
mensadigitale Maven Webapp,storage.manager,AdministratorDao,32,229,0,4,21,81,0,8,0,6
mensadigitale Maven Webapp,storage.manager,AddettoDao,32,244,0,4,21,84,0,8,0,6
mensadigitale Maven Webapp,startup,Startup,3,125,0,4,2,27,0,5,0,3
mensadigitale Maven Webapp,business.consumatore,StudenteFilter,0,33,1,5,0,10,1,4,0,2
mensadigitale Maven Webapp,business.consumatore,ConsumatoreBean,36,144,0,0,5,57,2,29,2,29
mensadigitale Maven Webapp,business.consumatore,RicaricaSaldo,48,0,0,0,15,0,3,0,3,0
mensadigitale Maven Webapp,business.prenotazioni,FasciaOrariaServlet,77,284,38,38,20,63,31,13,1,5
mensadigitale Maven Webapp,business.prenotazioni,PrenotazioneBean,17,66,0,0,1,28,1,14,1,14
mensadigitale Maven Webapp,business.prenotazioni,PrenotazioneFilter,9,49,0,10,2,13,0,7,0,2
mensadigitale Maven Webapp,business.prenotazioni,FilterResetSale,11,128,4,10,3,28,3,6,0,2
mensadigitale Maven Webapp,business.prenotazioni,QRCode,58,9,0,0,14,4,3,2,3,2
mensadigitale Maven Webapp,business.prenotazioni,QRCodeServlet,44,0,0,0,17,0,3,0,3,0
mensadigitale Maven Webapp,business.prenotazioni,FasciaOrariaBean,9,26,0,0,1,12,1,6,1,6
mensadigitale Maven Webapp,business.prenotazioni,FasciaOrariaServlet.new Object() {...},10,71,6,8,4,16,6,5,0,4
mensadigitale Maven Webapp,business.prenotazioni,PrenotazioneServlet,93,129,2,8,23,32,3,6,1,3
mensadigitale Maven Webapp,business.prenotazioni,TracciamentoContattiServlet,129,0,2,0,31,0,5,0,4,0
mensadigitale Maven Webapp,business.richieste,RichiestaBean,22,61,0,0,6,26,2,11,2,11
mensadigitale Maven Webapp,business.richieste,ValutaRichiestaServlet,12,50,0,4,4,13,1,4,1,2
mensadigitale Maven Webapp,business.richieste,ValutaRichiesta,124,0,0,0,31,0,3,0,3,0
mensadigitale Maven Webapp,business.richieste,RichiesteInSospeso,3,28,0,2,1,11,1,5,1,4
mensadigitale Maven Webapp,business.richieste,SubmitRichiestaServlet,80,1035,42,122,22,120,39,53,1,9
mensadigitale Maven Webapp,business.utente,LoginFilter,0,40,0,6,0,10,0,5,0,2
mensadigitale Maven Webapp,business.utente,LoginServlet,38,173,3,15,13,45,4,14,1,7
mensadigitale Maven Webapp,business.utente,Utente,0,36,0,0,0,16,0,8,0,8
mensadigitale Maven Webapp,business.addetto,AddettoFilter,0,29,0,4,0,8,0,4,0,2
mensadigitale Maven Webapp,business.addetto,Pagamento,18,96,0,6,7,24,1,7,1,4
mensadigitale Maven Webapp,business.addetto,AddettoBean,10,19,0,0,1,8,1,4,1,4
mensadigitale Maven Webapp,business.addetto,GestioneIdentificativo,12,97,0,6,5,24,1,6,1,3
mensadigitale Maven Webapp,business.admin,AdministratorBean,8,9,0,0,1,4,1,2,1,2
mensadigitale Maven Webapp,business.admin,AdministratorFilter,0,29,0,4,0,8,0,4,0,2
